Passager0;Survived;Pclass;Sex;Age;SibSp;Parch;Embarked
Passager1;0;3;1;22;1;0;1
Passager2;1;1;0;38;1;0;2
Passager3;1;3;0;26;0;0;1
Passager4;1;1;0;35;1;0;1
Passager5;0;3;1;35;0;0;1
Passager6;0;3;1;0;0;0;3
Passager7;0;1;1;54;0;0;1
Passager8;0;3;1;2;3;1;1
Passager9;1;3;0;27;0;2;1
Passager10;1;2;0;14;1;0;2
Passager11;1;3;0;4;1;1;1
Passager12;1;1;0;58;0;0;1
Passager13;0;3;1;20;0;0;1
Passager14;0;3;1;39;1;5;1
Passager15;0;3;0;14;0;0;1
Passager16;1;2;0;55;0;0;1
Passager17;0;3;1;2;4;1;3
Passager18;1;2;1;0;0;0;1
Passager19;0;3;0;31;1;0;1
Passager20;1;3;0;0;0;0;2
Passager21;0;2;1;35;0;0;1
Passager22;1;2;1;34;0;0;1
Passager23;1;3;0;15;0;0;3
Passager24;1;1;1;28;0;0;1
Passager25;0;3;0;8;3;1;1
Passager26;1;3;0;38;1;5;1
Passager27;0;3;1;0;0;0;2
Passager28;0;1;1;19;3;2;1
Passager29;1;3;0;0;0;0;3
Passager30;0;3;1;0;0;0;1
Passager31;0;1;1;40;0;0;2
Passager32;1;1;0;0;1;0;2
Passager33;1;3;0;0;0;0;3
Passager34;0;2;1;66;0;0;1
Passager35;0;1;1;28;1;0;2
Passager36;0;1;1;42;1;0;1
Passager37;1;3;1;0;0;0;2
Passager38;0;3;1;21;0;0;1
Passager39;0;3;0;18;2;0;1
Passager40;1;3;0;14;1;0;2
Passager41;0;3;0;40;1;0;1
Passager42;0;2;0;27;1;0;1
Passager43;0;3;1;0;0;0;2
Passager44;1;2;0;3;1;2;2
Passager45;1;3;0;19;0;0;3
Passager46;0;3;1;0;0;0;1
Passager47;0;3;1;0;1;0;3
Passager48;1;3;0;0;0;0;3
Passager49;0;3;1;0;2;0;2
Passager50;0;3;0;18;1;0;1
Passager51;0;3;1;7;4;1;1
Passager52;0;3;1;21;0;0;1
Passager53;1;1;0;49;1;0;2
Passager54;1;2;0;29;1;0;1
Passager55;0;1;1;65;0;1;2
Passager56;1;1;1;0;0;0;1
Passager57;1;2;0;21;0;0;1
Passager58;0;3;1;28,5;0;0;2
Passager59;1;2;0;5;1;2;1
Passager60;0;3;1;11;5;2;1
Passager61;0;3;1;22;0;0;2
Passager62;1;1;0;38;0;0;0
Passager63;0;1;1;45;1;0;1
Passager64;0;3;1;4;3;2;1
Passager65;0;1;1;0;0;0;2
Passager66;1;3;1;0;1;1;2
Passager67;1;2;0;29;0;0;1
Passager68;0;3;1;19;0;0;1
Passager69;1;3;0;17;4;2;1
Passager70;0;3;1;26;2;0;1
Passager71;0;2;1;32;0;0;1
Passager72;0;3;0;16;5;2;1
Passager73;0;2;1;21;0;0;1
Passager74;0;3;1;26;1;0;2
Passager75;1;3;1;32;0;0;1
Passager76;0;3;1;25;0;0;1
Passager77;0;3;1;0;0;0;1
Passager78;0;3;1;0;0;0;1
Passager79;1;2;1;0,83;0;2;1
Passager80;1;3;0;30;0;0;1
Passager81;0;3;1;22;0;0;1
Passager82;1;3;1;29;0;0;1
Passager83;1;3;0;0;0;0;3
Passager84;0;1;1;28;0;0;1
Passager85;1;2;0;17;0;0;1
Passager86;1;3;0;33;3;0;1
Passager87;0;3;1;16;1;3;1
Passager88;0;3;1;0;0;0;1
Passager89;1;1;0;23;3;2;1
Passager90;0;3;1;24;0;0;1
Passager91;0;3;1;29;0;0;1
Passager92;0;3;1;20;0;0;1
Passager93;0;1;1;46;1;0;1
Passager94;0;3;1;26;1;2;1
Passager95;0;3;1;59;0;0;1
Passager96;0;3;1;0;0;0;1
Passager97;0;1;1;71;0;0;2
Passager98;1;1;1;23;0;1;2
Passager99;1;2;0;34;0;1;1
Passager100;0;2;1;34;1;0;1
Passager101;0;3;0;28;0;0;1
Passager102;0;3;1;0;0;0;1
Passager103;0;1;1;21;0;1;1
Passager104;0;3;1;33;0;0;1
Passager105;0;3;1;37;2;0;1
Passager106;0;3;1;28;0;0;1
Passager107;1;3;0;21;0;0;1
Passager108;1;3;1;0;0;0;1
Passager109;0;3;1;38;0;0;1
Passager110;1;3;0;0;1;0;3
Passager111;0;1;1;47;0;0;1
Passager112;0;3;0;14,5;1;0;2
Passager113;0;3;1;22;0;0;1
Passager114;0;3;0;20;1;0;1
Passager115;0;3;0;17;0;0;2
Passager116;0;3;1;21;0;0;1
Passager117;0;3;1;70,5;0;0;3
Passager118;0;2;1;29;1;0;1
Passager119;0;1;1;24;0;1;2
Passager120;0;3;0;2;4;2;1
Passager121;0;2;1;21;2;0;1
Passager122;0;3;1;0;0;0;1
Passager123;0;2;1;32,5;1;0;2
Passager124;1;2;0;32,5;0;0;1
Passager125;0;1;1;54;0;1;1
Passager126;1;3;1;12;1;0;2
Passager127;0;3;1;0;0;0;3
Passager128;1;3;1;24;0;0;1
Passager129;1;3;0;0;1;1;2
Passager130;0;3;1;45;0;0;1
Passager131;0;3;1;33;0;0;2
Passager132;0;3;1;20;0;0;1
Passager133;0;3;0;47;1;0;1
Passager134;1;2;0;29;1;0;1
Passager135;0;2;1;25;0;0;1
Passager136;0;2;1;23;0;0;2
Passager137;1;1;0;19;0;2;1
Passager138;0;1;1;37;1;0;1
Passager139;0;3;1;16;0;0;1
Passager140;0;1;1;24;0;0;2
Passager141;0;3;0;0;0;2;2
Passager142;1;3;0;22;0;0;1
Passager143;1;3;0;24;1;0;1
Passager144;0;3;1;19;0;0;3
Passager145;0;2;1;18;0;0;1
Passager146;0;2;1;19;1;1;1
Passager147;1;3;1;27;0;0;1
Passager148;0;3;0;9;2;2;1
Passager149;0;2;1;36,5;0;2;1
Passager150;0;2;1;42;0;0;1
Passager151;0;2;1;51;0;0;1
Passager152;1;1;0;22;1;0;1
Passager153;0;3;1;55,5;0;0;1
Passager154;0;3;1;40,5;0;2;1
Passager155;0;3;1;0;0;0;1
Passager156;0;1;1;51;0;1;2
Passager157;1;3;0;16;0;0;3
Passager158;0;3;1;30;0;0;1
Passager159;0;3;1;0;0;0;1
Passager160;0;3;1;0;8;2;1
Passager161;0;3;1;44;0;1;1
Passager162;1;2;0;40;0;0;1
Passager163;0;3;1;26;0;0;1
Passager164;0;3;1;17;0;0;1
Passager165;0;3;1;1;4;1;1
Passager166;1;3;1;9;0;2;1
Passager167;1;1;0;0;0;1;1
Passager168;0;3;0;45;1;4;1
Passager169;0;1;1;0;0;0;1
Passager170;0;3;1;28;0;0;1
Passager171;0;1;1;61;0;0;1
Passager172;0;3;1;4;4;1;3
Passager173;1;3;0;1;1;1;1
Passager174;0;3;1;21;0;0;1
Passager175;0;1;1;56;0;0;2
Passager176;0;3;1;18;1;1;1
Passager177;0;3;1;0;3;1;1
Passager178;0;1;0;50;0;0;2
Passager179;0;2;1;30;0;0;1
Passager180;0;3;1;36;0;0;1
Passager181;0;3;0;0;8;2;1
Passager182;0;2;1;0;0;0;2
Passager183;0;3;1;9;4;2;1
Passager184;1;2;1;1;2;1;1
Passager185;1;3;0;4;0;2;1
Passager186;0;1;1;0;0;0;1
Passager187;1;3;0;0;1;0;3
Passager188;1;1;1;45;0;0;1
Passager189;0;3;1;40;1;1;3
Passager190;0;3;1;36;0;0;1
Passager191;1;2;0;32;0;0;1
Passager192;0;2;1;19;0;0;1
Passager193;1;3;0;19;1;0;1
Passager194;1;2;1;3;1;1;1
Passager195;1;1;0;44;0;0;2
Passager196;1;1;0;58;0;0;2
Passager197;0;3;1;0;0;0;3
Passager198;0;3;1;42;0;1;1
Passager199;1;3;0;0;0;0;3
Passager200;0;2;0;24;0;0;1
Passager201;0;3;1;28;0;0;1
Passager202;0;3;1;0;8;2;1
Passager203;0;3;1;34;0;0;1
Passager204;0;3;1;45,5;0;0;2
Passager205;1;3;1;18;0;0;1
Passager206;0;3;0;2;0;1;1
Passager207;0;3;1;32;1;0;1
Passager208;1;3;1;26;0;0;2
Passager209;1;3;0;16;0;0;3
Passager210;1;1;1;40;0;0;2
Passager211;0;3;1;24;0;0;1
Passager212;1;2;0;35;0;0;1
Passager213;0;3;1;22;0;0;1
Passager214;0;2;1;30;0;0;1
Passager215;0;3;1;0;1;0;3
Passager216;1;1;0;31;1;0;2
Passager217;1;3;0;27;0;0;1
Passager218;0;2;1;42;1;0;1
Passager219;1;1;0;32;0;0;2
Passager220;0;2;1;30;0;0;1
Passager221;1;3;1;16;0;0;1
Passager222;0;2;1;27;0;0;1
Passager223;0;3;1;51;0;0;1
Passager224;0;3;1;0;0;0;1
Passager225;1;1;1;38;1;0;1
Passager226;0;3;1;22;0;0;1
Passager227;1;2;1;19;0;0;1
Passager228;0;3;1;20,5;0;0;1
Passager229;0;2;1;18;0;0;1
Passager230;0;3;0;0;3;1;1
Passager231;1;1;0;35;1;0;1
Passager232;0;3;1;29;0;0;1
Passager233;0;2;1;59;0;0;1
Passager234;1;3;0;5;4;2;1
Passager235;0;2;1;24;0;0;1
Passager236;0;3;0;0;0;0;1
Passager237;0;2;1;44;1;0;1
Passager238;1;2;0;8;0;2;1
Passager239;0;2;1;19;0;0;1
Passager240;0;2;1;33;0;0;1
Passager241;0;3;0;0;1;0;2
Passager242;1;3;0;0;1;0;3
Passager243;0;2;1;29;0;0;1
Passager244;0;3;1;22;0;0;1
Passager245;0;3;1;30;0;0;2
Passager246;0;1;1;44;2;0;3
Passager247;0;3;0;25;0;0;1
Passager248;1;2;0;24;0;2;1
Passager249;1;1;1;37;1;1;1
Passager250;0;2;1;54;1;0;1
Passager251;0;3;1;0;0;0;1
Passager252;0;3;0;29;1;1;1
Passager253;0;1;1;62;0;0;1
Passager254;0;3;1;30;1;0;1
Passager255;0;3;0;41;0;2;1
Passager256;1;3;0;29;0;2;2
Passager257;1;1;0;0;0;0;2
Passager258;1;1;0;30;0;0;1
Passager259;1;1;0;35;0;0;2
Passager260;1;2;0;50;0;1;1
Passager261;0;3;1;0;0;0;3
Passager262;1;3;1;3;4;2;1
Passager263;0;1;1;52;1;1;1
Passager264;0;1;1;40;0;0;1
Passager265;0;3;0;0;0;0;3
Passager266;0;2;1;36;0;0;1
Passager267;0;3;1;16;4;1;1
Passager268;1;3;1;25;1;0;1
Passager269;1;1;0;58;0;1;1
Passager270;1;1;0;35;0;0;1
Passager271;0;1;1;0;0;0;1
Passager272;1;3;1;25;0;0;1
Passager273;1;2;0;41;0;1;1
Passager274;0;1;1;37;0;1;2
Passager275;1;3;0;0;0;0;3
Passager276;1;1;0;63;1;0;1
Passager277;0;3;0;45;0;0;1
Passager278;0;2;1;0;0;0;1
Passager279;0;3;1;7;4;1;3
Passager280;1;3;0;35;1;1;1
Passager281;0;3;1;65;0;0;3
Passager282;0;3;1;28;0;0;1
Passager283;0;3;1;16;0;0;1
Passager284;1;3;1;19;0;0;1
Passager285;0;1;1;0;0;0;1
Passager286;0;3;1;33;0;0;2
Passager287;1;3;1;30;0;0;1
Passager288;0;3;1;22;0;0;1
Passager289;1;2;1;42;0;0;1
Passager290;1;3;0;22;0;0;3
Passager291;1;1;0;26;0;0;1
Passager292;1;1;0;19;1;0;2
Passager293;0;2;1;36;0;0;2
Passager294;0;3;0;24;0;0;1
Passager295;0;3;1;24;0;0;1
Passager296;0;1;1;0;0;0;2
Passager297;0;3;1;23,5;0;0;2
Passager298;0;1;0;2;1;2;1
Passager299;1;1;1;0;0;0;1
Passager300;1;1;0;50;0;1;2
Passager301;1;3;0;0;0;0;3
Passager302;1;3;1;0;2;0;3
Passager303;0;3;1;19;0;0;1
Passager304;1;2;0;0;0;0;3
Passager305;0;3;1;0;0;0;1
Passager306;1;1;1;0,92;1;2;1
Passager307;1;1;0;0;0;0;2
Passager308;1;1;0;17;1;0;2
Passager309;0;2;1;30;1;0;2
Passager310;1;1;0;30;0;0;2
Passager311;1;1;0;24;0;0;2
Passager312;1;1;0;18;2;2;2
Passager313;0;2;0;26;1;1;1
Passager314;0;3;1;28;0;0;1
Passager315;0;2;1;43;1;1;1
Passager316;1;3;0;26;0;0;1
Passager317;1;2;0;24;1;0;1
Passager318;0;2;1;54;0;0;1
Passager319;1;1;0;31;0;2;1
Passager320;1;1;0;40;1;1;2
Passager321;0;3;1;22;0;0;1
Passager322;0;3;1;27;0;0;1
Passager323;1;2;0;30;0;0;3
Passager324;1;2;0;22;1;1;1
Passager325;0;3;1;0;8;2;1
Passager326;1;1;0;36;0;0;2
Passager327;0;3;1;61;0;0;1
Passager328;1;2;0;36;0;0;1
Passager329;1;3;0;31;1;1;1
Passager330;1;1;0;16;0;1;2
Passager331;1;3;0;0;2;0;3
Passager332;0;1;1;45,5;0;0;1
Passager333;0;1;1;38;0;1;1
Passager334;0;3;1;16;2;0;1
Passager335;1;1;0;0;1;0;1
Passager336;0;3;1;0;0;0;1
Passager337;0;1;1;29;1;0;1
Passager338;1;1;0;41;0;0;2
Passager339;1;3;1;45;0;0;1
Passager340;0;1;1;45;0;0;1
Passager341;1;2;1;2;1;1;1
Passager342;1;1;0;24;3;2;1
Passager343;0;2;1;28;0;0;1
Passager344;0;2;1;25;0;0;1
Passager345;0;2;1;36;0;0;1
Passager346;1;2;0;24;0;0;1
Passager347;1;2;0;40;0;0;1
Passager348;1;3;0;0;1;0;1
Passager349;1;3;1;3;1;1;1
Passager350;0;3;1;42;0;0;1
Passager351;0;3;1;23;0;0;1
Passager352;0;1;1;0;0;0;1
Passager353;0;3;1;15;1;1;2
Passager354;0;3;1;25;1;0;1
Passager355;0;3;1;0;0;0;2
Passager356;0;3;1;28;0;0;1
Passager357;1;1;0;22;0;1;1
Passager358;0;2;0;38;0;0;1
Passager359;1;3;0;0;0;0;3
Passager360;1;3;0;0;0;0;3
Passager361;0;3;1;40;1;4;1
Passager362;0;2;1;29;1;0;2
Passager363;0;3;0;45;0;1;2
Passager364;0;3;1;35;0;0;1
Passager365;0;3;1;0;1;0;3
Passager366;0;3;1;30;0;0;1
Passager367;1;1;0;60;1;0;2
Passager368;1;3;0;0;0;0;2
Passager369;1;3;0;0;0;0;3
Passager370;1;1;0;24;0;0;2
Passager371;1;1;1;25;1;0;2
Passager372;0;3;1;18;1;0;1
Passager373;0;3;1;19;0;0;1
Passager374;0;1;1;22;0;0;2
Passager375;0;3;0;3;3;1;1
Passager376;1;1;0;0;1;0;2
Passager377;1;3;0;22;0;0;1
Passager378;0;1;1;27;0;2;2
Passager379;0;3;1;20;0;0;2
Passager380;0;3;1;19;0;0;1
Passager381;1;1;0;42;0;0;2
Passager382;1;3;0;1;0;2;2
Passager383;0;3;1;32;0;0;1
Passager384;1;1;0;35;1;0;1
Passager385;0;3;1;0;0;0;1
Passager386;0;2;1;18;0;0;1
Passager387;0;3;1;1;5;2;1
Passager388;1;2;0;36;0;0;1
Passager389;0;3;1;0;0;0;3
Passager390;1;2;0;17;0;0;2
Passager391;1;1;1;36;1;2;1
Passager392;1;3;1;21;0;0;1
Passager393;0;3;1;28;2;0;1
Passager394;1;1;0;23;1;0;2
Passager395;1;3;0;24;0;2;1
Passager396;0;3;1;22;0;0;1
Passager397;0;3;0;31;0;0;1
Passager398;0;2;1;46;0;0;1
Passager399;0;2;1;23;0;0;1
Passager400;1;2;0;28;0;0;1
Passager401;1;3;1;39;0;0;1
Passager402;0;3;1;26;0;0;1
Passager403;0;3;0;21;1;0;1
Passager404;0;3;1;28;1;0;1
Passager405;0;3;0;20;0;0;1
Passager406;0;2;1;34;1;0;1
Passager407;0;3;1;51;0;0;1
Passager408;1;2;1;3;1;1;1
Passager409;0;3;1;21;0;0;1
Passager410;0;3;0;0;3;1;1
Passager411;0;3;1;0;0;0;1
Passager412;0;3;1;0;0;0;3
Passager413;1;1;0;33;1;0;3
Passager414;0;2;1;0;0;0;1
Passager415;1;3;1;44;0;0;1
Passager416;0;3;0;0;0;0;1
Passager417;1;2;0;34;1;1;1
Passager418;1;2;0;18;0;2;1
Passager419;0;2;1;30;0;0;1
Passager420;0;3;0;10;0;2;1
Passager421;0;3;1;0;0;0;2
Passager422;0;3;1;21;0;0;3
Passager423;0;3;1;29;0;0;1
Passager424;0;3;0;28;1;1;1
Passager425;0;3;1;18;1;1;1
Passager426;0;3;1;0;0;0;1
Passager427;1;2;0;28;1;0;1
Passager428;1;2;0;19;0;0;1
Passager429;0;3;1;0;0;0;3
Passager430;1;3;1;32;0;0;1
Passager431;1;1;1;28;0;0;1
Passager432;1;3;0;0;1;0;1
Passager433;1;2;0;42;1;0;1
Passager434;0;3;1;17;0;0;1
Passager435;0;1;1;50;1;0;1
Passager436;1;1;0;14;1;2;1
Passager437;0;3;0;21;2;2;1
Passager438;1;2;0;24;2;3;1
Passager439;0;1;1;64;1;4;1
Passager440;0;2;1;31;0;0;1
Passager441;1;2;0;45;1;1;1
Passager442;0;3;1;20;0;0;1
Passager443;0;3;1;25;1;0;1
Passager444;1;2;0;28;0;0;1
Passager445;1;3;1;0;0;0;1
Passager446;1;1;1;4;0;2;1
